Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",603,2,1uF,C15849
"C3, C4",603,2,10nF,C57112
J2,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,C45082766
"J3, J7",RJ45_Molex_0855135013_Vertical,1,,C6355995
Q1,SOT-23,1,BS170F,C20917
"R1, R2",603,2,5.1k,C23186
R10,603,1,7.5K,C23234
R11,603,1,2.2K,C4190
R3,603,1,18K,C25810
R4,603,1,8.2K,C25981
"R5, R9",603,2,10K,C25804
R6,603,1,300K,C23024
R7,603,1,4.7K,C23162
R8,603,1,220R,C22962
U4,SOT-23-3,1,XC6206PxxxMR,C22466435
U5,SOIC-8_5.3x6.2mm_P1.27mm,1,Opamp_Dual,C4370389
U6,SO1SOP-8-A_TPK,1,TP5551-SR,C47126865
