Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1uF,
"C3, C4",0603,2,10nF,
J1,SMA_Amphenol_132289_EdgeMount,1,Conn_Coaxial_Small,
J2,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,
J3,RJ45_Molex_0855135013_Vertical,1,SENSORS_RJ45,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BTN_PWR,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BAT,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PUMP,
J7,RJ45_Molex_0855135013_Vertical,1,SPOOL_RJ45,
Q1,SOT-23,1,BS170F,
"R1, R2",0603,2,5.1k,
R10,0603,1,7.5K,
R11,0603,1,2.2K,
R3,0603,1,18K,
R4,0603,1,8.2K,
"R5, R9",0603,2,10K,
R6,0603,1,300K,
R7,0603,1,4.7K,
R8,0603,1,220R,
U1,Waveshare ESP32-S3-TINY,1,~,
U2,Waveshare Core1121XF,1,~,
U3,UMLIFE IP5306 Li-Ion BMS,1,~,
U4,SOT-23-3,1,XC6206PxxxMR,
U5,SOIC-8_5.3x6.2mm_P1.27mm,1,Opamp_Dual,
U6,SO1SOP-8-A_TPK,1,TP5551-SR,
U7,DC-DC BOOST,1,12V REG,
